question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"According to John Paul Lederach, cited in the course material, ""conflict resolution"" suggests that conflict is destructive like fire and therefore should be:",Put out quickly and decisively through mediation or other intervention processes,Allowed to burn indefinitely without any intervention,Celebrated as a permanently positive and desirable state,"Ignored entirely, since it will resolve itself with no action",A,"Lederach argues that ""conflict resolution"" suggests conflict is destructive like fire and therefore should be put out quickly and decisively, often through mediation, unlike conflict transformation's broader, deeper approach.",4
"According to the course material, the Franco-German reconciliation after the Second World War is cited as an example of successful conflict transformation, in which new mutually benefiting arrangements were proposed and:","Worked out, making the hitherto contested issues less or no longer relevant",Rejected outright by both parties involved,Delayed indefinitely with no resolution reached,Enforced exclusively through continued military occupation,A,"The Franco-German reconciliation after WWII is cited as an example of conflict transformation, in which new mutually benefiting arrangements were worked out, making previously contested issues less or no longer relevant.",4
"According to the course material, four requirements are generally agreed upon for effective conflict transformation, including multi-level participation and efforts to empower the 'underdogs' in the struggle, plus a focus on:","Long-standing traumas and deep-rooted senses of past injustice, not merely immediate issues",Only the most powerful party's stated demands,The complete exclusion of grassroots constituents from the process,A rigid timeline with no flexibility for long-term healing,A,"Among the requirements for effective conflict transformation are multi-level participation, empowering underdogs, ensuring those directly involved control the process, and focusing not merely on immediate issues but also long-standing traumas and past injustices.",4
"According to Schmid (2000), cited in the course material, ""issue transformation"" is defined as a change in the political agenda of the conflict, downplaying the importance of original conflict issues and emphasising shared concern for:",New issues,Only the most divisive elements of the original conflict,A complete return to the status quo before the conflict began,"The exclusive interests of external, uninvolved parties",A,"Schmid (2000) defines issue transformation as a change in the political agenda of the conflict, downplaying the importance of original conflict issues while emphasising shared concern for new issues.",4
"According to the course material, unlike ""interests"", which are often negotiable, ""needs"" in conflict transformation, such as security, identity, and recognition, are described as being:",Often non-negotiable,Always identical to interests with no meaningful distinction,Entirely irrelevant to any conflict transformation process,Easily traded away without any consequence,A,"Unlike interests, which are often negotiable and material, needs (such as security, identity, and recognition) are often non-negotiable, since parties in conflict rarely want to trade away fundamental needs like identity or security.",4
"According to Vanynen (1991), cited in the course material, ""rule transformation"" is described as one of the measures to restructure a conflict by redefining the norms which actors in a conflict are expected to follow in their:",Mutual interactions,Financial reporting to shareholders,Agricultural production schedules,Academic examination procedures,A,Vanynen (1991) describes rule transformation as one of the measures to restructure a conflict by redefining the norms actors in a conflict are expected to follow in their mutual interactions.,4
"According to Zartman (2001), cited in the course material, six cases illustrating rule transformation through the disappearance of legitimate authority institutions include Lebanon, Liberia, Somalia, Zaire (Congo), Haiti, and:",Yugoslavia,Australia,Canada,New Zealand,A,"Zartman (2001) illustrates rule transformation with six cases where legitimate authority institutions and law and order disappeared: Lebanon, Liberia, Somalia, Zaire (Congo), Haiti, and Yugoslavia.",4
"According to the course material, protracted and violent intra-state conflicts in places like Liberia and Sierra Leone were connected to structural imbalance in terms of who gets what in what type of political system?",Highly centralised and seemingly unitary presidential systems,"Fully decentralised, purely local governance systems",Systems with no central government at all,Systems based exclusively on rotating regional leadership,A,"The course material links the protracted violent conflicts in Liberia and Sierra Leone to structural imbalance in terms of representation and resource access, tied to highly centralised, seemingly unitary presidential systems.",4
"According to Galtung (1996), cited in the course material, structural conflict, unlike actor conflict, is rarely recognised or articulated by individuals themselves, meaning that for people to identify and act against it, there must be a:","Mobiliser or instigator, such as Saro-Wiwa or Martin Luther King",Complete absence of any leadership whatsoever,Formal declaration of war by the United Nations,Unanimous international economic sanction,A,"Galtung (1996) argues structural conflict is rarely recognised or articulated by individuals on their own; there must be a mobiliser or instigator, with examples cited including Saro-Wiwa and Martin Luther King.",4
"According to Galtung (1995), cited in the course material's discussion of actor transformation, what survives after a conflict has disappeared from the agenda is:","Conflict energy, reproduced and produced by the conflict, which does not die",Complete and permanent resolution with no lingering effects,A guaranteed absence of any future conflict between the same parties,An automatic transfer of all resources to the victorious party,A,"Galtung (1995:53) argues that conflicts are generally not solved; what survives after a conflict disappears from the agenda is conflict energy, reproduced and produced by the conflict, which does not die but attaches itself to other conflicts.",4
"According to Bush and Folger, cited in the course material, transformational mediation aims to produce two useful effects: empowerment and:",Recognition,Punishment,Isolation,Suppression,A,Bush and Folger argue transformational mediation aims to produce two useful effects: empowerment (restoring individuals' consciousness of their own value and strength) and recognition (reawakening acknowledgement and empathy for others).,4
"According to Burton (1990), cited in the course material's discussion of issue transformation, ""values"" are described as fundamental beliefs that are non-negotiable, consisting of the ideas, habits, customs, and beliefs characteristic of:",Particular social communities,"A single, universally identical global culture",Only written legal codes with no informal component,Exclusively financial and economic considerations,A,"Burton (1990) describes values as fundamental, non-negotiable beliefs consisting of the ideas, habits, customs, and beliefs characteristic of particular social communities, determining how people understand and respond to the world.",4
"According to the course material's discussion of rule transformation in Lebanon, the July 1982 initiative that focused on the Lebanese problem, brought in Syria, and worked deliberately on a peace agreement is known as the:",Reagan initiative,Truman Doctrine,Marshall Plan,Monroe Doctrine,A,"Among the Lebanon rule transformation timeline (1975-1989) presented, the July 1982 Reagan initiative focused on the Lebanese problem, brought in Syria, and worked deliberately toward a peace agreement.",4
"According to the course material, conflict transformation is described as involving an informed reassessment and redefinition of disputants in order to transcend a zero-sum (win-lose) phase and arrive at what kind of agreement?",A positive-sum (win-win) agreement,A permanent state of unresolved hostility,An agreement that benefits only the stronger party,A purely symbolic agreement with no practical effect,A,"Conflict transformation entails reassessment and redefinition of disputants to transcend the zero-sum (win-lose) phase and arrive at a positive-sum (win-win) agreement, where new mutually beneficial arrangements replace contested issues.",4
