"question_text","option_a","option_b","option_c","option_d","correct_option","explanation","module"
"According to the source, the Greek city-state shared which three basic characteristics?","Large territory, religious uniformity and hereditary rule","Written constitutions, standing armies and foreign trade","Small size, love of independence and all-inclusiveness","Federal structure, secular law and universal suffrage","C","The source states that the Greek city-state shared three basic characteristics: small size, love of independence and all-inclusiveness.","2"
"Aristotle held that a city-state must be of what size?","As small as a single extended family","Large enough to be economically viable or self-supporting, but not so large as to prevent unity or personal feelings among its members","As large as possible so as to deter invasion","Exactly equal in population to its neighbouring states","B","The source records Aristotle's view that a city-state must be large enough to be economically viable or self-supporting, but must not be too large as to prevent unity or personal feelings among its members.","2"
"Which contemporary entity does the source describe as being regardable as a city-state?","The Vatican, with its seat in Rome","Monaco","Singapore","Hong Kong","A","The source states that in contemporary times the Vatican, with its seat in Rome, can be regarded as a city-state because it fulfils the features of modern sovereign states of the post-1648 Treaty of Westphalia.","2"
"Which form of democracy does the source say is possible in a modern nation-state, as against a city-state?","Direct or participatory democracy","Consensus democracy through mass assembly","No form of democracy at all","Only indirect democracy or representative government","D","The source states that in a nation-state, because of its size, only indirect democracy or representative government is possible, unlike in a city-state where participatory or direct democracy is the rule.","2"
"Under the Natural Theory of the state, Aristotle described an individual living outside the state as which of the following?","A slave or a servant","A rebel or a traitor","A beast or a god","A citizen without rights","C","The source records Aristotle's point, under the Natural Theory, that the state is the natural environment in which a man could be truly human, and that an individual outside the state is either a beast or a god.","2"
"The Greek Sophist Thrasymachus is quoted in the source in support of the Force Theory as having observed which of the following?","Man is by nature a political animal","The state is a committee of the bourgeoisie","Power corrupts and absolute power corrupts absolutely","Justice is the interest of the stronger","D","The source quotes the Greek Sophist Thrasymachus, in support of the negative conception of the force theory, as observing that justice is the interest of the stronger.","2"
"Mussolini's idea of a police state is described in the source as the forerunner of which concept?","Statism","Federalism","Constitutionalism","Pluralism","A","The source states that Mussolini's idea of a police state is the forerunner of what is today known as Statism, noting that Mussolini and Hitler used the force theory to convert Italy and Germany into a police and totalitarian state respectively.","2"
"According to Appadorai's explanation of the Divine Right theory, which of the following holds?","Kings are accountable to their parliaments alone","Monarchy is a divinely ordained institution, kings are accountable only to God, and non-resistance and passive obedience are enjoined by God","Kings derive their authority from a contract with the people","Kings hold power only for as long as they rule justly","B","The source cites Appadorai's explanation that monarchy is a divinely ordained institution, that kings are accountable only to God, and that non-resistance and passive obedience are enjoined by God.","2"
"Which rulers are cited in the source as having carried the claim to divine right to the extreme by asserting they were incarnations of the sun-God who ruled the entire universe?","The Tudors of Britain","The Hindu Maharajahs","The Egyptian kings","The Mikados of Japan","D","The source states that the Mikados of Japan carried the claim to divine right to rule to the extreme when they asserted that they were the incarnations of the sun-God who ruled the entire universe.","2"
"In Thomas Hobbes's version of the social contract, life in the state of nature was described as which of the following?","Peaceful, communal and free of private property","Governed by natural law and reason","Poor, solitary, nasty, brutish and short","Dominated by lords and serfs","C","The source records that according to Hobbes, in the beginning men lived in a state of nature where life was poor, solitary, nasty, brutish and short.","2"
"According to the source, Hobbes wrote The Leviathan in 17th century England for what purpose?","To defend the rights of Parliament against the Crown","To justify the restoration of the Stuart dynasty","To advocate the abolition of the monarchy","To promote the independence of the American colonies","B","The source states that Hobbes wrote the Leviathan in 17th century England to justify the restoration of the Stuart dynasty.","2"
"In the Marxian theory of the state, what is the correct order of historical epochs?","Feudalism, communalism, capitalism, socialism","Communalism, feudalism, capitalism, socialism","Capitalism, feudalism, communalism, socialism","Socialism, capitalism, feudalism, communalism","B","The source traces the Marxian sequence from communalism, where resources were shared fairly equally, to feudalism with its lords and serfs, then to capitalism with the bourgeoisie and proletariat, and thereafter to a socialist state before the state withers away.","2"
"In The Manifesto of the Communist Party, Marx and Engels declared that the executive of the modern state is which of the following?","A committee of the bourgeoisie","The guardian of the general will","An agent of divine providence","The neutral arbiter between classes","A","The source quotes Marx and Engels in The Manifesto of the Communist Party as declaring that the executive of the modern state is a committee of the bourgeoisie.","2"
"Sir Henry Maine's Patriarchal Theory traces the state through which sequence?","The individual, through the market, to the state","The family under the eldest male parent, expanding into the tribe, and an aggregation of tribes making the state","The church, through the monarchy, to the state","The city-state, through the empire, to the nation-state","B","The source presents Maine's argument that the unit of primitive society was the family in which the eldest male parent was supreme; the single family breaks up into many families held together under the head of the first family, becoming the tribe, and an aggregation of tribes makes the state.","2"
"Which thinker, cited under the Evolutionary Theory, believed the state evolved out of a complex set of human needs and therefore advised against tampering with existing institutions and social relationships?","J. W. Burgess","Sir Henry Maine","Edmund Burke","Niccolo Machiavelli","C","The source states that the conservative British philosopher Edmund Burke believed the state evolved out of a complex set of human needs, and advised against tampering with existing institutions and social relationships because they are the sinews that hold society together.","2"
"Harold Laski defined the state as which of the following?","A people organized for law within a political community","A regime or supreme authority which gives order to all and receives orders from all","A territorial society divided into government and subjects, claiming within its allotted physical area a supremacy over all other institutions","A committee for managing the affairs of the whole bourgeoisie","C","The source quotes Harold Laski's definition of a state as a territorial society divided into government and subjects, claiming within its allotted physical area a supremacy over all other institutions.","2"
"The four fundamental elements that any polity must possess to be regarded as a state are which of the following?","Population, army, currency and flag","Territory, constitution, judiciary and police","Population, defined territory, government and sovereignty","Language, religion, culture and history","C","The source states that for any polity to be regarded as a state it must have four fundamental elements: population, defined territory, government and sovereignty.","2"
"Which definition of the state is attributed to Woodrow Wilson in the source?","An autonomous entity set off from society by a system of norms, rules and prejudices","A means by which people are organized for participation in the international system","A people organized for law within a political community","A territorial society divided into government and subjects","C","The source attributes to Woodrow Wilson the definition of a state as a people organized for law within a political community.","2"
"In the comparison between the state and the government, which of the following is correct?","The government is the principal and the state is the agent","Membership of the government is compulsory while membership of the state is optional","The state exists in concrete terms while the government is abstract","The state is the principal with permanent life, while the government is its agent with an ephemeral life span","D","The source's comparison table shows the state as the principal whose life expectancy is permanency, and the government as the agent whose life span is ephemeral or temporary, changing hands periodically.","2"
