question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"According to the course material, if Hoebel's interpretation of primitive justice is correct, the former distinction made by writers between private and public wrong requires modification because, in an ultimate sense, there are only:","""Public"" wrongs","""Private"" wrongs",No wrongs of any kind whatsoever,Wrongs that are always resolved through compensation alone,A,"If Hoebel's interpretation is correct, the former distinction between private and public wrong clearly requires modification: in an ultimate sense, there are only ""public"" wrongs.",1
"According to the course material's discussion of the ""new penology"", one of its eight principles is that treatment should be adapted to the individual case, while another calls for operation of correctional institutions in ways that will minimize the gulf separating:",The prisoner from the society to which he will eventually return,The warden from the state governor,Prison guards from other prison guards,The judiciary from the legislature,A,"Among the eight principles of the ""new penology"" is that correctional institutions should operate in ways that minimize the gulf separating the prisoner from the society to which he will eventually return.",1
"According to the course material's discussion of transcendental philosophies of punishment, Kant's theory of the moral law insisted that there exists a categorical imperative to punish criminals who have violated this moral law, viewing punishment as:",An end in itself,"A means to an entirely different, unrelated end",Something that should never occur under any circumstances,"Purely a matter of private, informal negotiation",A,"Kant's theory of the moral law, believing in an intuitive source of absolute morality, insisted there exists a categorical imperative to punish criminals who violated this moral law, viewing punishment as an end in itself.",1
"According to the course material, Jeremy Bentham, a chief expositor of the Utilitarian school, held that punishment should be allotted in amounts just sufficient to produce a net loss for a person committing a criminal act, on the assumption that men are governed in their actions by rational assessments of:",The pleasures and pains to be netted by various courses of action,Purely religious doctrine with no rational calculation involved,The astrological alignment of the stars,Random chance with no logical basis,A,"Bentham held that since men are governed by rational assessments of the pleasures and pains to be netted by various courses of action, punishment should be allotted in amounts just sufficient to produce a net loss (pain) for the offender.",1
"According to the course material, the neoclassical school (including Garraud, Rossi, and Joly) started with the same principle of free will as the classical school but made exceptions for little children, the insane, and those whose crimes were committed under:",Extenuating circumstances,"No circumstances whatsoever, since exceptions were never permitted",A formal written contract with the state,A period of national economic prosperity,A,"The neoclassical school made exceptions to the classical free-will principle in the case of little children, the insane, and those whose crimes were committed under extenuating circumstances, such as duress or self-defence.",1
"According to the course material, Le Sunche, a prison in Florence, Italy used to punish offenders as early as 1301 and described by Marian Wolfgang, is notable because it classified prisoners on the basis of gender, age, mental state, and crime seriousness, and existed for approximately how long?",500 years,5 years,"50,000 years",5 months,A,"Le Sunche, a prison in Florence, Italy, used to punish offenders as early as 1301, classified prisoners by gender, age, mental state, and crime seriousness, and existed for approximately 500 years.",1
"According to the course material, William Penn, at the end of the seventeenth century, revised Pennsylvania's criminal code to forbid torture and the capricious use of mutilation and physical punishment, replacing these with penalties including imprisonment at hard labor, moderate flogging, fines, and:",Forfeiture of property,Immediate execution with no trial,Permanent exile with no possibility of return,"Public humiliation exclusively, with no other penalty",A,"William Penn's revised Pennsylvania criminal code replaced torture and mutilation with penalties of imprisonment at hard labor, moderate flogging, fines, and forfeiture of property, used to make restitution to victims.",1
"According to the course material, the Auburn prison design, built in New York in 1816, became known as the tier system because cells were built vertically on five floors, and was also referred to as the congregate system because:",Most prisoners ate and worked in groups,"All prisoners were kept in permanent, total solitary confinement",No prisoners were ever permitted to work under any circumstances,Prisoners were housed exclusively in underground tunnels,A,"The Auburn prison, built in 1816, was known as the tier system (cells built vertically on five floors) and also as the congregate system, because most prisoners ate and worked in groups rather than total isolation.",1
"According to the course material, the New Pennsylvania System, established in 1818, placed each inmate in a single cell with no work to do, with classifications abolished because each cell was intended as a miniature prison designed to prevent:",Inmates from contaminating one another,"Any form of prison labor whatsoever, even after release",Guards from ever entering the facility,The construction of any additional prisons in the state,A,"The 1818 New Pennsylvania System placed each inmate in a single cell with no work, abolishing classifications because each cell was intended as a miniature prison to prevent inmates from contaminating one another.",1
"According to historian Samuel Walker, quoted in the course material, it was ironic that the prison, devised as a more humane alternative to corporal and capital punishment, instead simply moved corporal punishment:","Indoors, where hidden from public view it became even more savage","Outdoors, where it became more visible and less severe",Into a completely different country entirely,Into private homes rather than institutions,A,"Samuel Walker notes the irony that the prison, devised as a more humane alternative to corporal and capital punishment, instead simply moved corporal punishment indoors, where hidden from public view, it became even more savage.",1
"According to the course material, Z. R. Brockway, warden at the Elmira Reformatory in New York, advocated individualized treatment, indeterminate sentences, and:",Parole,The complete abolition of all forms of education for inmates,A return to exclusively corporal forms of punishment,The elimination of all vocational training programs,A,"Z. R. Brockway, warden at the Elmira Reformatory in New York, advocated individualized treatment, indeterminate sentences, and parole, alongside a reformatory program including elementary education and vocational training shops.",1
"According to the course material, well-publicized riots at New York's Attica prison and the New Mexico State penitentiary, during the modern era of corrections, drew national attention to:",The potential for death and destruction that lurks in every prison,The complete success and total safety of the American prison system,The need to immediately abolish all forms of imprisonment,A national decision to end all prisoner rights litigation permanently,A,"Well-publicized riots at New York's Attica prison and the New Mexico State penitentiary, during the modern era, drew national attention to the potential for death and destruction that lurks in every prison, becoming a national scandal.",1
"According to the course material's contrast between a ""normal"" community and a prison community, in the prison community, all phases of the day's activities are:",Tightly scheduled and imposed from above by a system of explicit formal rulings,Left entirely to each inmate's individual discretion with no schedule at all,Determined democratically through a vote among all inmates,Identical in every respect to life in a normal free community,A,"In sharp contrast to a ""normal"" community, in the prison community all phases of the day's activities are tightly scheduled, imposed from above by a system of explicit formal rulings and a body of officials.",1
