question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"According to the course material, the word ""conflict"" is derived from the Latin word ""confligere"", meaning:",To strike together,To live in harmony,To trade goods,To build alliances,A,"The word conflict is derived from the Latin word confligere, meaning to strike together, reflecting the fight, struggle, or clash implied in the term.",1
"According to Quincy Wright (1990), cited in the course material, conflict is defined as opposition among social entities directed against one another, distinguished from ""competition"", which is:",Opposition among social entities independently striving for something of which resources are inadequate to satisfy all,The complete absence of any social interaction,A form of cooperation with no element of opposition,A concept entirely unrelated to the availability of resources,A,"Wright (1990:19) distinguishes competition, defined as opposition among social entities independently striving for something of which the resources are inadequate to satisfy all, from conflict, which is directed opposition.",1
"According to Kriesberg (1973), cited in the course material, conflict is simply defined as a relationship between two or more parties who believe they have:",Incompatible goals,Identical goals,No goals whatsoever,Goals that require no negotiation at all,A,"Kriesberg (1973:17) simply defines conflict as ""a relationship between two or more parties who believe they have incompatible goals.""",1
"According to the course material, the four categories used to classify the causes of conflict are conflicts over resources, conflicts over psychological needs, conflicts involving values, and:",Conflicts over inadequate information,Conflicts over weather patterns,Conflicts over international trade agreements,Conflicts over academic grading systems,A,"Conflict causes can be categorised into four namely: conflicts over resources, conflicts over psychological needs, conflicts involving values, and conflicts over inadequate information.",1
"According to the course material, citing Weaver's analogy that likens culture to an iceberg, ""internal culture"" (beliefs, values, and thought patterns) is described as:","Implicitly learnt and difficult to change, being the part of culture below the waterline",Extremely easy to change on very short notice,Entirely absent from any human society,The only part of culture that is visible to outsiders,A,"Weaver likens culture to an iceberg, describing ""internal culture"" (beliefs, values, thought patterns) as implicitly learnt and difficult to change, being the part of culture below the waterline in the analogy.",1
"According to the course material, examples of conflicts involving values include the Cold War, terrorism, religious conflicts such as the 1980 Maitatsine crisis, and the crisis that erupted in 2005 over cartoons of the Prophet Mohammad published in a newspaper called:",Jyllands Posten,The New York Times,The Guardian,Le Monde,A,"Conflicts involving values include the September 30, 2005 Cartoon crisis over cartoons caricaturing Prophet Mohammad published by the Danish newspaper, Jyllands Posten.",1
"According to the course material, the Boko Haram crisis in Nigeria, cited as an example of a values-based conflict, is estimated (at the time of the course guide's writing) to have killed approximately how many people?","3,500",35,3.5 million,"350,000",A,"The course material cites the Boko Haram crisis as the most recent of Nigeria's religious crises, estimated to have killed approximately 3,500 people.",1
"According to the course material, the six types of conflict discussed include Intra-Personal, Inter-Personal, Intra-Group, Inter-Group, National, and:",International Conflict,Extraterrestrial Conflict,Digital Conflict,Chronological Conflict,A,"The six types of conflict discussed are Intra-Personal, Inter-Personal, Intra-Group, Inter-Group, National, and International Conflict.",1
"According to Ted Robert Gurr and Quincy Wright, cited in the course material, a better criterion for classifying conflicts than the mere presence or absence of violence is:",The level of violence involved,The number of people present at the conflict site,The exact geographic coordinates of the conflict,The time of day the conflict began,A,"Gurr and Wright rightly argue that the level of violence, rather than its absence or presence, is a better criterion for classifying conflicts, since conflicts differ largely in degree rather than kind.",1
"According to Karl Marx's conflict theory, discussed in the course material, the more the rate of inequality in the distribution of scarce resources in society, the greater is the:",Basic conflict of interest between dominant and subordinate segments,Level of overall economic growth in that society,Number of registered political parties,Amount of foreign direct investment received,A,"Marx views that the more the rate or degree of inequality in the distribution of scarce resources in society, the greater is the basic conflict of interest between its dominant and subordinate segments.",1
"According to Max Weber's theory, cited in the course material, conflict between subordinates and superordinates becomes more likely when:",Charismatic leaders can mobilise the resentment of subordinates,There is complete social and economic equality among all citizens,Subordinates have no access to any form of communication,There is no political authority of any kind in existence,A,"Weber sees conflict as highly contingent on the emergence of charismatic leaders who could mobilise subordinates, with conflict becoming more likely when such leaders successfully mobilise resentment against superordinates.",1
"According to Dahrendorf's conflict theory model, cited in the course material, he distinguishes between two kinds of struggles in an organisation, which he calls ""endogenous"" conflict and:","""Exogenous"" conflict","""Homogenous"" conflict","""Autonomous"" conflict","""Synonymous"" conflict",A,"Dahrendorf (1958) contends for two different kinds of struggles: ""endogenous"" conflict (generated within an organisation) and ""exogenous"" conflict (brought upon a system from outside).",1
"According to the Structural-Functional Theory championed by Talcott Parsons (1960), cited in the course material, conflict is viewed as:","Dysfunctional, abnormal, and a disease that can be endemic to a society",The healthiest and most desirable state for any organisation,Something that should be actively encouraged at all levels,Entirely unrelated to organisational stability,A,"The structural-functional theory, championed by Talcott Parsons, sees conflict as dysfunctional, abnormal, and a disease which can be endemic to a society, focusing on maintaining equilibrium instead.",1
