question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"In economics, ""utility"" refers to:",The monetary cost of producing a good,The satisfaction or reward derivable from consuming a good or service,The physical weight of a product,The number of units a firm produces in a day,B,Utility is defined as the satisfaction or reward a consumer derives from consuming a particular good or service relative to its alternatives.,4
"""Marginal utility"" refers to:",The total satisfaction from all units of a good consumed,The additional satisfaction derived from consuming one more unit of a product,The average price of a good over a year,The minimum price a firm will accept,B,"Marginal utility is the additional satisfaction gained from consuming an additional unit of a product, typically from the last unit consumed.",4
"""Total utility"" is best described as:",The satisfaction derived only from the very first unit consumed,The summation of satisfaction derived from all units of a good consumed,The price paid for a good,The number of goods available in a market,B,"Total utility is the sum of satisfaction obtained from consuming all units of a product, unlike marginal utility, which comes only from the last unit.",4
The principle of diminishing marginal utility states that:,Total utility always falls as more units are consumed,The extra utility from consuming additional units of a good falls as more units are consumed,Marginal utility always equals total utility,Prices fall as more of a good is produced,B,"Diminishing marginal utility means that as a consumer consumes more units of a good, the additional satisfaction from each extra unit becomes smaller.",4
An indifference curve represents:,Combinations of two goods that give a consumer the exact same level of satisfaction,The government's fixed price for two goods,A firm's total cost of production,The maximum income a household can earn,A,"An indifference curve shows different combinations of two goods between which a consumer is indifferent, since each combination yields equal satisfaction.",4
The Marginal Rate of Substitution (MRS) is defined as:,The rate at which a consumer is willing to substitute one good for another while remaining equally satisfied,The rate of interest charged on a loan,The tax rate applied to luxury goods,The rate at which firms substitute labour for capital,A,"MRS is the rate at which a consumer is willing to give up one good in exchange for another, while overall satisfaction remains the same.",4
"A budget constraint, or budget line, shows:","All the combinations of two goods a consumer can afford, given fixed income and fixed prices",The maximum profit a firm can earn,The government's total tax revenue,A firm's total variable cost,A,The budget line shows all the possible combinations of two goods a consumer could purchase given a fixed income and the fixed prices of the goods.,4
"A consumer reaches equilibrium, or maximum satisfaction, at the point where:",The budget line crosses the vertical axis,The indifference curve is tangent to the budget line,Marginal utility is equal to zero,The price of both goods is equal,B,Consumer equilibrium occurs at the point of tangency between the highest attainable indifference curve and the budget line.,4
"If the price of one good in a consumer's budget decreases while income and the other good's price stay the same, the budget line will:","Shift inward, reducing consumption of both goods","Rotate outward, since more of that good can now be purchased",Remain completely unchanged,Become a vertical line,B,"A price decrease for one good means a consumer could purchase more of it with the same income, causing the budget line to rotate outward on that axis.",4
"An increase in a consumer's income, with prices unchanged, will typically cause the budget line to:","Shift outward, to the right, in parallel","Shift inward, to the left, in parallel",Rotate around a fixed point,Disappear entirely,A,"A rise in income allows the consumer to afford more of both goods at existing prices, shifting the budget line outward in parallel.",4
"The equation for a budget line, given a fixed income of #3000, price of #200 per unit of good S, and #400 per unit of good G, is:",#3000 = #400S + #200G,#3000 = #200S + #400G,#3000 = #200S – #400G,#3000 = S + G,B,The budget line equation multiplies the price of each good by its quantity and sums them to equal total income: #3000 = #200S + #400G.,4
"A key limitation of utility theory, which the indifference curve approach avoids, is that:",Utility theory cannot explain consumer behaviour at all,"Utility cannot be measured in exact, absolute terms",Utility theory only applies to luxury goods,Utility theory ignores price completely,B,A recognised weakness of utility theory is that satisfaction cannot be measured in absolute terms; the indifference curve approach avoids this by ranking preferences instead.,4
