question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
Computer software is broadly divided into two major groups: application software and:,System software,Hardware software,Peripheral software,Auxiliary software,A,Computer software is divided into two major groups: system software (which facilitates optimal use of hardware) and application software (which solves specific user problems).,3
An operating system is best described in the course guide as:,A physical hardware component,A program that acts as an interface between a user of a computer and the computer hardware,A type of printer driver only,A device used to cool the CPU,B,"An operating system is a program that acts as an interface between a computer user and the computer hardware, providing an environment in which a user may execute programs.",3
"In a batch processing operating system, the computer's response time is best described as:","Instantaneous, with no delay at all","The turnaround time, from job submission until execution is complete and results are ready",Always less than one second,"Irrelevant, since users interact with the job in real time",B,"In batch processing, the user has no interaction with the job during processing, and the response time is the turnaround time, from submission until the results are ready.",3
A time-sharing operating system allows a computer to provide computing services to:,"Only one user at a time, one after another","Several or many users concurrently online, sharing the processor and memory","No users, only automated batch jobs",Only government agencies,B,"In a time-sharing environment, a computer provides services to several or many users concurrently online, sharing the processor, memory, and other resources under the operating system's control.",3
"Real-time operating systems, used for applications like airline reservations and nuclear power station monitoring, are specifically designed for situations where:","Response time is of the essence, to prevent error, misrepresentation, or disaster",Cost savings matter more than speed,Only one program can ever run,Response time is not important at all,A,"Real-time operating systems are designed to service applications where response time is critical, to prevent error, misrepresentation, or even disaster.",3
A multiprogramming operating system is one that allows:,Only a single active program in memory at a time,More than one active user program to be stored in main memory simultaneously,No programs to be stored in memory,Only games to run,B,A multiprogramming operating system allows more than one active user program (or part of a program) to be stored in main memory simultaneously.,3
"According to the course guide, a time-sharing system is always a multiprogramming system, but:",A multiprogramming system is not necessarily a time-sharing system,Multiprogramming systems are always time-sharing systems too,Time-sharing and multiprogramming are always identical,Neither term applies to real operating systems,A,"A time-sharing system is a multiprogramming system, but the reverse is not necessarily true; a batch or real-time system can also have multiple active programs in memory.",3
An assembler is a computer program that:,Accepts a source program in assembly language and translates the entire program into an equivalent machine language object program,Executes programs line by line without translation,Only works with high-level languages like COBOL,Converts machine language back into English text,A,An assembler accepts a source program written in assembly language and translates the entire program into an equivalent object program in machine language.,3
"Unlike a compiler, an interpreter:",Accepts a program from a source language and translates and executes it line by line,Cannot process any programming language,Translates the entire program before any of it runs,Only works with machine language,A,"An interpreter accepts a program from a source language, then reads, translates, and executes it line by line into machine language, unlike a compiler which translates the whole program first.",3
"The stages involved in compilation, according to the course guide, include lexical analysis, syntax analysis, semantic analysis, and:",Code generation,File deletion,Password encryption,Network configuration,A,"The stages in compilation include lexical analysis, syntax analysis, semantic analysis, and code generation.",3
"Utility software, also called service or general-purpose programs, performs operations such as file conversion, file copy, and:","Housekeeping operations, like clearing storage areas and writing file labels",Playing video games only,Designing company logos exclusively,Only sending emails,A,"Utility software performs operations including file conversion, file copy, and housekeeping operations such as clearing areas of storage and writing file labels.",3
"The word processor, spreadsheet, and database packages mentioned in the course guide are all examples of which category of software?",System software,Application software,Language translators,Auxiliary equipment,B,"Word processors, spreadsheets, and database packages are all examples of application software, designed to solve problems of a specific nature for the user.",3
"In language translation, the initial program written in a language other than machine language is called the source program, and its machine-language equivalent is called the:",Object program,Utility program,Batch program,Auxiliary program,A,"The initial program is called the source program, and its equivalent translated into machine language is called the object program (or object code).",3
