question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"According to Sanderson (1988), cited in the course material, culture is defined as the total life ways characteristic of members of society, including tools, knowledge, and patterned ways of thinking and acting that are learned and shared and are not the direct product of:",Biological inheritance,Modern digital technology,International trade agreements,Government policy exclusively,A,"Sanderson (1988) defines culture as the total life ways characteristic of members of society, including tools, knowledge, and patterned ways of thinking and acting that are learned and shared and are not the direct product of biological inheritance.",3
"According to the course material, culture has two main components: material culture, which includes all artifacts of society such as tools and clothing, and:","Non-material culture, consisting of norms, values, and belief systems","Digital culture exclusively, with no other form recognized","Foreign culture exclusively, excluding any indigenous elements",Military culture exclusively,A,"Culture has two components: material culture (all artifacts of society, e.g. tools, shelter, clothing, weapons) and non-material culture (ideas behind the making and transformation of material objects, including norms, values, and belief systems).",3
"According to Hobson, cited in Giddens (1997:550) in the course material, imperialism is described as the drive to:",Conquer and subjugate other peoples,Promote peaceful trade with no political dimension whatsoever,Eliminate all forms of international communication,Restrict a nation's own citizens from any form of media access,A,"Hobson, cited in Giddens (1997:550), describes imperialism as the drive to conquer and subjugate other peoples, a concept examined in the course material's discussion of cultural imperialism.",3
"According to the course material, various scholars have used different terms relating to the same basic notion of cultural imperialism, including ""media imperialism"" (Boyd-Barret, 1977), ""structural imperialism"" (Galtung, 1979), and ""electronic colonialism"", a term coined by:",McPhail (1987),Lenin (1917),Aristotle (ancient Greece),Thomas Jefferson (18th century America),A,"Various scholars have used different terms relating to cultural imperialism: ""media imperialism"" (Boyd-Barret, 1977), ""structural imperialism"" (Galtung, 1979), ""cultural synchronization"" (Hamelink, 1983), and ""electronic colonialism"" (McPhail, 1987).",3
"According to Udeze (2005:26), cited in the course material, Lenin described imperialism as:","""Moribund capitalism"", or capitalism at its dying stage",The earliest and healthiest stage of capitalism,A concept entirely unrelated to economic systems,A purely military strategy with no economic dimension,A,"Lenin, cited in Udeze (2005:26), described imperialism as ""moribund capitalism"" or capitalism at its dying stage, distinguished from colonialism, which Udeze describes as involving physical occupation and governance of the colonized country.",3
"According to Iyorkyaa, cited in Ate (2000:2) in the course material's discussion of economic journalism, one problem affecting the economic journalist in Nigeria is that most reporters and editors are not:",Trained and motivated for the task,Paid any salary whatsoever,Permitted to publish any content at all,Aware of the existence of the internet,A,"Iyorkyaa, cited in Ate (2000:2), identifies problems affecting the economic journalist in Nigeria, including that most reporters and editors are not trained and motivated for the task, and that business people are often unwilling to discuss transactions with the press.",3
"According to General Ibrahim Babangida, quoted in the course material at the twilight of his administration, regarding Nigeria's economic problems:","""Our economic problems defy solution proffered by economic theorists""","""Nigeria's economy has never faced any challenge whatsoever""","""Economic theory has solved every problem facing our nation""","""The media should never report on economic matters""",A,"General Ibrahim Babangida, at the twilight of his administration, is quoted as saying: ""Our economic problems defy solution proffered by economic theorists"", illustrating the complexity economic journalists must navigate.",3
"According to McQuail (2005:233), cited in the course material, distinctive features of media economics include that media are hybrid in respect of markets, products and technology, that media have high fixed costs, and that media business tends naturally toward:",Concentration,Complete dispersal with no consolidation ever occurring,Total elimination of any advertising revenue,"Government ownership exclusively, with no private option",A,"McQuail (2005:233) identifies distinctive features of media economics, including that media are hybrid, have high fixed costs, involve creativity and uncertainty, and tend naturally toward concentration.",3
"According to the course material, the two major approaches to social change are the Evolutionary Approach, a process by which organisms develop naturally from simple to complex over time, and the:","Revolutionary Approach, involving intensive and drastic changes to social organisation","Static Approach, involving no change of any kind whatsoever","Digital Approach, applicable only to internet-based societies","Colonial Approach, applicable only to formerly colonised nations",A,"The two major approaches to social change discussed are the Evolutionary Approach (natural development from simple to complex, exemplified by Darwin's theory) and the Revolutionary Approach (intensive, drastic alterations to social organisation).",3
"According to Okolocha et al. (1999:220), cited in the course material, examples of violent revolutions include the French Revolution (1789), the Russian Revolution (1917), and the Chinese Revolution (1949), while the Industrial Revolution in Western Europe is cited as an example of a:",Non-violent revolution,Second violent revolution occurring simultaneously,Purely economic event with no social change involved,Revolution that has never actually been studied by sociologists,A,"Okolocha et al. (1999:220) outline examples of violent revolutions (French 1789, Russian 1917, Chinese 1949) and non-violent revolution, citing the Industrial Revolution in Western Europe as the example of the latter.",3
"According to Awake! (2007:7), cited in the course material's discussion of the negative effects of globalisation, the net worth of the 200 richest people on earth now exceeds the combined income of what proportion of the people living on the planet?",40 percent,4 percent,0.4 percent,99 percent,A,"According to Awake! (2007:7), the net worth of the 200 richest people on earth now exceeds the combined income of 40 percent of the people who live on the planet, illustrating globalisation's widening of the rich-poor gap.",3
"According to the course material, the ""big four"" international news agencies that currently define news to the global community, courtesy of globalisation technology, are Reuters, American Associated Press (AP), United Press International, and:",Agence France Press,Xinhua News Agency,Al Jazeera Media Network,The BBC World Service,A,"The course material identifies the ""big four"" international news agencies as Reuters, American Associated Press (AP), United Press International, and Agence France Press, which currently define news to the global community.",3
