question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"According to Rawls (1971), cited in the course material, the ""veil of ignorance"" in the social contract ensures that individuals in the original position have minimal information about their future:","Roles, status, and profession, prior to the division of labour in society",Physical height and eye colour,Preferred style of clothing,Favourite type of food,A,"Rawls' ""veil of ignorance"" ensures that rational contractors in the original position have minimal information about their future roles, status, or profession, so that impartial principles of justice can be chosen.",2
"According to the course material, Rawls identifies two main principles that rational contractors are likely to agree to: the principle of fairness and:",The principle of natural duties,The principle of absolute monarchy,The principle of class struggle,The principle of divine right,A,"According to Rawls, the two principles that rational contractors are likely to agree to are the principle of fairness and the principle of natural duties, both underpinning a citizen's obligation to the state.",2
"According to the course material, the ""principle of natural duty of justice"", as distinguished from the principle of fairness, does not require:",Any act of consent or voluntary act in order to obligate a citizen,Any connection whatsoever to the concept of justice,The existence of a constitution of any kind,Citizens to ever comply with any law,A,A key advantage of the natural duty of justice over the principle of fairness is that it does not presuppose any act of consent or voluntary act in order to obligate a citizen to support just institutions.,2
"According to Frankena (1966), cited in the course material, one of the criteria for an individual's action or principle to be considered ""moral"" is that the individual:","Universalises it, regarding it as definitive, final, or supremely authoritative",Keeps it completely secret from all other people,Only applies it when convenient to their own interests,Rejects any connection between the action and its effects on others,A,"Frankena's criteria for a moral action include that the individual takes it as prescriptive, universalises it, and regards it as definitive, final, overriding, or supremely authoritative.",2
"According to the course material, ""Individualist Ethics"" (IE), one of two conceptions of morality discussed, makes morality a matter of:","Authentic personal choice and decision, rejecting the universalisation requirement",Strict adherence to state-imposed rules with no personal input,"Religious doctrine exclusively, with no room for individual reasoning",International legal consensus only,A,"Individualist Ethics (IE) makes morality a matter of authentic personal choice and decision, an existentialist view that rejects the universalisation requirement since choices are seen as uniquely and freely made.",2
"According to the course material, the primary imperatives of the state, as reflected in Section 217(1) of the 1999 Nigerian Constitution, include defending Nigeria from external aggression and:","Maintaining territorial integrity and securing its borders on land, sea, or air",Managing the country's stock exchange exclusively,Regulating international sporting events,Printing the national currency,A,"Section 217(1) of the 1999 Constitution assigns the armed forces functions including defending Nigeria from external aggression and maintaining territorial integrity, securing borders on land, sea, or air.",2
"According to the course material, the secondary imperatives of the state, being socio-economic in nature, are specifically contained in which part of the 1999 Nigerian Constitution?",The Fundamental Objectives and Directive Principles of State Policy (Chapter 2),"The preamble only, with no legal force whatsoever","Chapter 4, dealing exclusively with fundamental rights","An entirely separate, unrelated piece of legislation",A,"The secondary, socio-economic imperatives of the state are specifically contained in the Fundamental Objectives and Directive Principles of State Policy in Chapter 2 of the 1999 Constitution.",2
"According to Mohandas Gandhi (1961), cited in the course material, civil disobedience is best understood as:","An inherent right of a citizen, without which the citizen is ""less than a man (or woman)""",An act that should always be classified and prosecuted as a serious crime,A form of direct physical violence against government officials,Something with no moral basis and no legitimate role in society,A,"Gandhi maintained that civil disobedience is an inherent right of a citizen, without which the citizen is less than a man or woman, tied to the moral right to disagree with an unjust government.",2
"According to Bedau (1961), cited in the course material, ""direct action"", distinguished from civil disobedience, is a type of political protest in which the dissenter:","Uses his own body as a lever to pry loose the policy of government (e.g. hunger strikes, self-immolation)",Only writes formal letters of complaint to elected officials,Exclusively uses social media campaigns with no physical component,Never engages in any form of protest whatsoever,A,"Bedau (1961) describes direct action as a type of protest in which the dissenter uses his own body as a lever to pry loose government policy, exemplified by hunger strikes or the self-incineration of a Buddhist monk.",2
"According to the course material, a key argument for why civil disobedience does not necessarily constitute an act of law violation is that:","There is no crime known as ""civil disobedience"" under the criminal code; any charges brought are for other offences like illegal occupation or traffic obstruction","All countries have a specific criminal statute against ""civil disobedience"" by name",Civil disobedience is always completely legal and never results in arrest,The concept has no relationship to law or crime whatsoever,A,"One argument is that there is no crime known as ""civil disobedience"" in the criminal code; protesters may be charged with other offences (illegal occupation, traffic obstruction) but never for civil disobedience itself.",2
