module,unit,unit_title,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,tier
1,1,The Concept of Psychology,Psychology is best defined as the:,science of the unconscious mind,scientific study of behaviour,study of mental illness only,art of persuading people,B,"Psychology's most succinct, widely accepted definition is the scientific study of behaviour.",basic
1,1,The Concept of Psychology,In what year did Wilhelm Wundt found the first laboratory devoted to experimental psychology?,1859,1879,1890,1900,B,"Wundt founded the first experimental psychology laboratory in Leipzig, Germany, in 1879.",basic
1,1,The Concept of Psychology,Wilhelm Wundt founded the first psychology laboratory in which city?,Berlin,Leipzig,Vienna,Munich,B,"The laboratory was founded in Leipzig, Germany.",basic
1,1,The Concept of Psychology,"Who wrote the first widely recognised psychology textbook, published in 1890?",Sigmund Freud,B.F. Skinner,William James,Wilhelm Wundt,C,William James published the first recognised psychology textbook in 1890.,basic
1,1,The Concept of Psychology,One reason psychologists do not always agree on a single description of psychology is that:,psychology has no practical use,psychology is a relatively new discipline,psychology is identical to physics,psychologists dislike each other,B,"Psychology's youth as a discipline, and its diverse subject matter, are the two main reasons for varied descriptions.",basic
1,1,The Concept of Psychology,"According to Zimbardo, which of the following is NOT one of the goals of psychology?",To describe behaviour objectively,To predict behaviour,To eliminate all human emotion,To demonstrate control over behaviour,C,"Zimbardo's goals are to describe, explain, predict, and demonstrate control over behaviour, not to eliminate emotion.",standard
1,1,The Concept of Psychology,Many people mistakenly equate psychology entirely with:,behaviourism,psychoanalysis or Freudian psychology,cognitive science,social psychology,B,"A common misconception is equating psychology solely with psychoanalysis, which is only a minor part of the field.",standard
1,1,The Concept of Psychology,B.F. Skinner is best known for experiments using which subjects?,Human infants only,"Rats, pigeons and other animals",Twins,Police officers,B,"Skinner conducted many experiments with rats, pigeons and other animals to study responses to environment.",basic
1,1,The Concept of Psychology,Why do some psychologists study animals rather than humans?,Animals are cheaper to study,Animal experiments allow research that would be ethically or practically difficult with humans,Animals behave exactly like humans,Animals cannot feel pain,B,"Studying animals allows experiments that would be harder to justify or conduct on humans, with results sometimes extended to humans.",standard
1,1,The Concept of Psychology,The word psychology is difficult to define partly because:,it covers a diverse range of subjects studied from different perspectives,no one has ever tried to define it,it is a purely religious concept,all psychologists agree completely on its meaning,A,"Psychology covers many different areas, so specialists in different areas describe it in slightly different ways.",basic
1,2,Approaches to Psychology,Which approach to psychology searches for the causes of behaviour in brain function and biochemical processes?,Psychodynamic,Biological,Behaviourist,Cognitive,B,The biological approach looks for causes of behaviour in brain functioning and biochemistry.,basic
1,2,Approaches to Psychology,The psychodynamic approach to psychology is most closely associated with:,B.F. Skinner,Ivan Pavlov,Sigmund Freud,Wilhelm Wundt,C,The psychodynamic approach is linked to the writings of Sigmund Freud.,basic
1,2,Approaches to Psychology,"According to Freud, a great deal of an individual's personality is determined:",at birth only,in the first five years of life,during adolescence,in old age,B,Freud believed personality is largely determined in the first five years of life.,standard
1,2,Approaches to Psychology,Behaviourists such as Pavlov and Skinner are primarily interested in:,unconscious drives,observable behaviour and environmental forces that sustain it,abstract thinking processes,spiritual development,B,Behaviourists focus on observable behaviour and the environmental conditions that sustain or discourage it.,basic
1,2,Approaches to Psychology,The cognitive approach to psychology is primarily concerned with:,"thinking, memory, perception and problem-solving",brain chemistry alone,unconscious instincts,reinforcement schedules only,A,"The cognitive approach studies thinking, information processing, perception, memory and problem solving.",basic
