question_text,option_a,option_b,option_c,option_d,correct_option,explanation,module
"According to the course material, the Magistrates' Court Ordinance No. 43 of 1943 established a unified system of magistracy, from which appeals lay to the Supreme Court and then further to the West African Court of Appeal and ultimately to:",The Judicial Committee of the Privy Council,The Sharia Court of Appeal exclusively,The Customary Court of Appeal exclusively,"No further court, since the West African Court of Appeal was final",A,"The Magistrates' Court Ordinance No. 43 of 1943 established a unified magistracy system, with appeals lying from Magistrates to the Supreme Court, then the West African Court of Appeal, and ultimately the Judicial Committee of the Privy Council.",4
"According to the course material, in Lagos State, unlike in the Northern States, jurisdiction has no relation to the grades of Magistrates' Court; all grades of Magistrates' Court in Lagos have power to try any:",Non-indictable offence,"Capital offence, without any restriction whatsoever",Case involving a foreign national exclusively,Matter referred directly by the President of Nigeria,A,"In Lagos State, unlike the Northern States, jurisdiction has no relation to grades of Magistrates' Court; all grades have power to try any non-indictable offence, while higher grades may try indictable offences (except capital crimes) with consent.",4
"According to the course material, the Magistrates' Court in the 17 Southern States exercises summary jurisdiction in both civil and criminal matters, whereas in the 19 Northern States it exercises jurisdiction over:","Criminal matters only, with the District Court hearing civil matters","Civil matters only, with no criminal jurisdiction whatsoever","Neither civil nor criminal matters, only administrative matters",Exclusively matters involving traditional rulers,A,"The Magistrates' Court in the Southern States exercises both civil and criminal summary jurisdiction, while in the Northern States it exercises only criminal jurisdiction, with the District Court hearing civil matters instead.",4
"According to the course material, the Legal Aid and Advice Act of 1949 in the United Kingdom advanced legal aid provision after World War II, but this Act:",Was not an Act of General Application and did not apply to the Colony and Protectorate of Nigeria,"Applied automatically and immediately to all British colonies, including Nigeria",Was the first legal aid legislation to be enacted anywhere in the world,Was repealed within one year of its enactment due to public opposition,A,"The UK's Legal Aid and Advice Act, 1949, advanced legal aid in England after World War II, but was not an Act of General Application and did not apply to the Colony and Protectorate of Nigeria.",4
"According to the course material, Nigeria's military government promulgated the Legal Aid Act in 1976, establishing a Legal Aid Council responsible for the operation of a scheme for the grant of free legal aid to persons with:",Inadequate resources,"Any level of income, regardless of financial need",No connection to any legal dispute whatsoever,Foreign citizenship exclusively,A,"Nigeria's military government promulgated the Legal Aid Act of 1976, establishing a Legal Aid Council responsible for granting free legal aid to persons with inadequate resources, with the Act later amended a decade later.",4
"According to the course material, under Section 352 of the Criminal Procedure Act, where a person is accused of a capital offence and is not defended by a legal practitioner, the court shall, if practicable:",Assign a legal practitioner for his defence,"Proceed with the trial regardless, with no legal representation provided",Automatically acquit the accused without any trial,Refer the matter exclusively to a traditional ruler for resolution,A,"Section 352 of the Criminal Procedure Act provides that where a person accused of a capital offence is not defended by a legal practitioner, the court shall, if practicable, assign a legal practitioner for his defence.",4
"According to the course material's discussion of separation of powers, De Smith's conclusion is that to the extent there is a guarantee of independence of which specific arm of government, the doctrine of separation of power retains practical value?",The judiciary,The armed forces exclusively,The traditional monarchy exclusively,The private business sector exclusively,A,"De Smith's conclusion, cited in the course material, is that to the extent there is a guarantee of independence of the judiciary, the doctrine of separation of power and its associated climate of thought retains practical value.",4
"According to the course material, in Lagos State, a Chief Magistrate Grade I has sentencing power of up to 7 years imprisonment or a fine of up to:","N4,000",N400,N40,"N400,000",A,"According to the grades of Magistrates' Courts in Lagos State cited in the course material, a Chief Magistrate Grade I has sentencing power of up to 7 years imprisonment or a fine of up to N4,000.",4
"According to the course material, unlike in the Southern States, Magistrates' Courts in the Northern States may refer a case to a higher court for:",Enhanced punishment,"Immediate and unconditional dismissal, with no further action",Transfer to a foreign jurisdiction,Permanent archival with no further proceedings,A,"Unlike the Southern States, Magistrates' Courts in the Northern States may refer a case to a higher court for enhanced punishment, and except for Magistrates Court Grade III, other courts may impose caning.",4
"According to the course material, Rule 5 of the Robbery and Firearms Tribunal (Procedure) Rules 1975 empowers the court to assign a legal practitioner for the defence of persons charged with:",Robbery or armed robbery who are not represented,Only civil contract disputes,Only matters involving customary land tenure,Only offences committed by government officials,A,Rule 5 of the Robbery and Firearms Tribunal (Procedure) Rules 1975 empowers the court to assign a legal practitioner for the defence of persons charged with robbery or armed robbery who are not represented.,4
"According to the course material's discussion of separation of powers, factors responsible for the ""much overlapping of powers"" and ""near complete fusion"" of the Legislative and Executive in Nigeria include the nature of the Constitution, pluralism of governments, and:",Presidentialism and its attendant concentration of State power,The complete absence of any written constitution,The total elimination of the judiciary as a separate arm of government,A universally agreed international treaty binding all three arms equally,A,"Among the factors responsible for the overlapping of powers in Nigeria are the nature of the Constitution, pluralism of governments operating horizontally and vertically, and presidentialism and its attendant concentration of State power.",4
"According to the course material, Juvenile Welfare Courts, courts of summary jurisdiction established under the Children and Young Persons Ordinance No. 41 of 1943, are constituted by a Magistrate and two Assessors, one of whom must be:",A woman,A retired judge exclusively,A licensed medical doctor exclusively,A representative of a foreign government,A,"Juvenile Welfare Courts, established under the Children and Young Persons Ordinance No. 41 of 1943, are constituted by a Magistrate and two Assessors, one of whom must be a woman.",4
"According to the course material, in Juvenile Welfare Court proceedings, terms such as ""accused"" and ""conviction"" are not applicable; instead, juvenile offenders are referred to as delinquents, and if their delinquency is proved, the court makes a:","An ""order""","A ""verdict"" identical to adult criminal proceedings","A ""sentence"" identical to adult criminal proceedings",No formal decision of any kind whatsoever,A,"The Juvenile Welfare Court has its own vocabulary; terms like ""accused"" and ""conviction"" are not applicable, since juvenile offenders are delinquents, and if their delinquency is proved, the court makes an ""order"" rather than a conviction.",4
"According to the course material, caning, the most widely used order in Juvenile Welfare Courts in Nigeria, must not exceed 12 strokes, and this punishment is not applied to:",Female delinquents,Delinquents under the age of 10 exclusively,Delinquents who plead guilty,Delinquents whose parents are present in court,A,"Caning, the most widely used order in Juvenile Welfare Courts, must not exceed 12 strokes, and female delinquents are not caned under this system.",4
"According to the course material, under Nigerian juvenile justice provisions, a person under the age of 17 years cannot be sentenced to:",Death,A term of probation,A period of imprisonment under any circumstances whatsoever,A fine of any amount,A,"The course material states that a person under the age of 17 years cannot be sentenced to death, though such a person may be sent to jail if there is no other means of dealing with him or her.",4
"According to the course material, a Court Martial composed of a President holding the rank not below Major and two other officers has power to sentence an offender to imprisonment not exceeding:",Two years,Twenty years,One month,"Life imprisonment, with no upper limit",A,"A Court Martial composed of a President (rank not below Major) and two other officers has power to sentence an offender to imprisonment not exceeding two years, while a Court Martial with a President of Major rank or above and four other officers has no limit to its sentencing power.",4
"According to the course material, when a person subject to military law has been tried by a Court Martial or dealt with by his Commanding Officer for an offence, a civil court is debarred from trying him subsequently for the same offence, illustrating the principle against:",Double jeopardy,Judicial review of any kind,Any form of appeal whatsoever,The presumption of innocence,A,"The course material notes that when a person subject to military law has been tried by Court Martial or dealt with by his Commanding Officer, a civil court is debarred from trying him subsequently for the same or substantially the same offence, illustrating the principle against double jeopardy.",4
"According to the course material, the Magistrates' Courts, as the most important of the inferior courts, deal with approximately what percentage of crimes charged to court in Nigeria?",80%,8%,0.8%,"100%, with no other court trying any criminal matter",A,"The course material states that the Magistrates' Courts deal with 80% of crimes charged to court, underscoring their importance as the most significant of the inferior courts in the Nigerian legal system.",4
